0921204J;Université Paris Nanterre;;Université;Public;;Île-de-France>Versailles>Hauts-de-Seine>Nanterre;92050;Nanterre;Paris;Hauts-de-Seine;Versailles;Île-de-France;200 AVENUE DE LA REPUBLIQUE;92001;NANTERRE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);29866;31807;31928;32381;31459;31606
0781944P;Université de Versailles Saint-Quentin-en-Yvelines;;Université;Public;;Île-de-France>Versailles>Yvelines>Versailles;78646;Versailles;Paris;Yvelines;Versailles;Île-de-France;55 AVENUE DE PARIS;78035;VERSAILLES CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);15142;15420;16126;16925;15799;15661
0772551E;École d'architecture de la ville et des territoires à Marne-la-Vallée;ENSA VT;Établissement supérieur d'architecture;Public;;Île-de-France>Créteil>Seine-et-Marne>Champs-sur-Marne;77083;Champs-sur-Marne;Paris;Seine-et-Marne;Créteil;Île-de-France;10  AVENUE BLAISE PASCAL;77420;CHAMPS SUR MARNE;France;;0;0;0;0;0;0
0760168V;École de management de Normandie;EM Normandie;Autre établissement;Privé;;Normandie>Rouen>Seine-Maritime>Le Havre;76351;Le Havre;Le Havre;Seine-Maritime;Rouen;Normandie;30 RUE DE RICHELIEU;76087;LE HAVRE CEDEX;France;;1846;2115;2213;2428;2587;2438
0941954N;École supérieure d'ingénieurs des travaux de la construction de Cachan;ESITC;École d'ingénieurs;Privé;;Île-de-France>Créteil>Val-de-Marne>Cachan;94016;Cachan;Paris;Val-de-Marne;Créteil;Île-de-France;28 AVENUE DU PRESIDENT WILSON;94234;CACHAN CEDEX;France;;249;255;259;291;311;321
0941934S;École d'ingénieur généraliste en informatique et technologies du numérique;EFREI;École d'ingénieurs;Privé;;Île-de-France>Créteil>Val-de-Marne>Villejuif;94076;Villejuif;Paris;Val-de-Marne;Créteil;Île-de-France;30  AVENUE DE LA REPUBLIQUE;94800;VILLEJUIF;France;;1169;1289;1206;1122;1084;1144
0831458J;Institut supérieur de l'électronique et du numérique;Yncréa Méditerranée;École d'ingénieurs;Privé;;Provence-Alpes-Côte d'Azur>Nice>Var>Toulon;83137;Toulon;Toulon;Var;Nice;Provence-Alpes-Côte d'Azur;Place GEORGES POMPIDOU;83000;TOULON;France;;276;278;314;371;419;477
0490076S;École supérieure des sciences commerciales d'Angers;ESSCA;Autre établissement;Privé;;Pays de la Loire>Maine-et-Loire>Angers;49007;Angers;Angers;Maine-et-Loire;Nantes;Pays de la Loire;1 RUE LAKANAL;49003;ANGERS CEDEX 01;France;;2219;2285;2369;2502;2650;2886
0593559Y;Université Lille 1 - Sciences technologies;;Université;Public;;Hauts-de-France>Lille>Nord>Villeneuve-d'Ascq;59009;Villeneuve-d'Ascq;Lille;Nord;Lille;Hauts-de-France;CITE SCIENTIFIQUE;59655;VILLENEUVE D'ASCQ CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);19191;19397;19775;20125;19380;21087
0593279U;Université de Valenciennes et du Hainaut-Cambrésis;;Université;Public;;Hauts-de-France>Lille>Nord>Aulnoy-lez-Valenciennes;59032;Aulnoy-lez-Valenciennes;Valenciennes;Nord;Lille;Hauts-de-France;;59300;AULNOY LEZ VALENCIENNES;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);10186;10051;10110;10243;10369;10849
